,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,1.492,1.568,1.56,2.076,2.096,1.094
2,squim_sisdr_i,3.969,4.453,4.615,3.908,4.226,2.494
3,sdr_i,2.743,3.199,3.255,2.63,2.674,1.92
4,lsd_i,1.059,1.196,1.119,0.799,0.731,1.028
5,mcd_i,-1.432,-1.45,-1.481,-1.492,-1.499,-1.417
6,pesq_i,0.502,0.566,0.573,0.58,0.598,0.504
7,pesq2_i,0.502,0.567,0.573,0.581,0.598,0.504
8,squim_pesq_i,0.634,0.653,0.671,0.62,0.651,0.516
9,dnsmos_ovrl_i,0.869,0.92,0.935,0.89,0.911,0.807
10,squim_mos_i,0.523,0.523,0.539,0.51,0.484,0.508
11,nisqa_mos_i,1.159,1.18,1.195,1.103,1.1,0.941
12,stoi_i,0.088,0.1,0.101,0.101,0.102,0.081
13,squim_stoi_i,0.064,0.072,0.074,0.067,0.071,0.052
14,phonsim_i,0.056,0.064,0.066,0.066,0.074,0.071
15,spksim_i,-0.045,-0.046,-0.05,-0.029,-0.025,-0.05
16,sBertSim_i,0.082,0.087,0.087,0.088,0.09,0.083
