,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,,,,,,
2,squim_sisdr_i,6.813,6.906,6.961,6.508,6.581,5.367
3,sdr_i,,,,,,
4,lsd_i,,,,,,
5,mcd_i,,,,,,
6,pesq_i,,,,,,
7,pesq2_i,,,,,,
8,squim_pesq_i,1.008,1.017,1.041,0.974,0.97,0.879
9,dnsmos_ovrl_i,0.634,0.663,0.666,0.653,0.638,0.626
10,squim_mos_i,0.36,0.338,0.345,0.35,0.385,0.356
11,nisqa_mos_i,1.267,1.367,1.405,1.341,1.286,1.155
12,stoi_i,,,,,,
13,squim_stoi_i,0.066,0.067,0.068,0.062,0.061,0.055
14,phonsim_i,,,,,,
15,spksim_i,,,,,,
16,sBertSim_i,,,,,,
