,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,,,,,,
2,squim_sisdr_i,6.31160535273377,6.331462274874029,6.337115874208818,6.454692521671601,6.426177275602912,5.811821137260288
3,sdr_i,,,,,,
4,lsd_i,,,,,,
5,mcd_i,,,,,,
6,pesq_i,,,,,,
7,pesq2_i,,,,,,
8,squim_pesq_i,0.5292787352487202,0.5015100648378151,0.49601178631736614,0.4812532640313063,0.4931266446596124,0.45893265882229406
9,dnsmos_ovrl_i,0.43054675427092115,0.4327266158058635,0.4282082581525884,0.4228143880974725,0.42272335538640166,0.4169976249438302
10,squim_mos_i,0.747038418584402,0.7441828607217983,0.750985701908269,0.7598578635628923,0.7460763562339793,0.7355216941924476
11,nisqa_mos_i,0.7119927490379647,0.6515272081385347,0.6462180082166742,0.6524898477288159,0.6528372352630353,0.6733328392209108
12,stoi_i,,,,,,
13,squim_stoi_i,0.06455136023943592,0.06579189045866335,0.06336351882156122,0.06137419114324945,0.060567474420994735,0.05790775457098703
14,phonsim_i,,,,,,
15,spksim_i,,,,,,
16,sBertSim_i,,,,,,
