,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,1.075,1.37,1.356,1.93,1.87,0.885
2,squim_sisdr_i,3.809,4.467,4.638,3.809,4.059,2.216
3,sdr_i,2.716,3.243,3.259,2.621,2.643,1.873
4,lsd_i,0.723,0.819,0.765,0.291,0.197,0.461
5,mcd_i,-1.574,-1.629,-1.659,-1.71,-1.692,-1.593
6,pesq_i,0.484,0.552,0.563,0.572,0.588,0.485
7,pesq2_i,0.484,0.552,0.562,0.571,0.588,0.485
8,squim_pesq_i,0.614,0.646,0.661,0.593,0.62,0.498
9,dnsmos_ovrl_i,0.874,0.924,0.934,0.886,0.9,0.795
10,squim_mos_i,0.658,0.651,0.659,0.635,0.624,0.651
11,nisqa_mos_i,1.161,1.2,1.241,1.124,1.112,0.974
12,stoi_i,0.087,0.101,0.101,0.1,0.1,0.081
13,squim_stoi_i,0.056,0.066,0.068,0.058,0.062,0.044
14,phonsim_i,0.052,0.062,0.061,0.066,0.066,0.066
15,spksim_i,-0.077,-0.083,-0.079,-0.059,-0.051,-0.081
16,sBertSim_i,0.079,0.084,0.085,0.088,0.09,0.08
