,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,,,,,,
2,squim_sisdr_i,8.701,8.755,8.948,8.551,8.711,7.406
3,sdr_i,,,,,,
4,lsd_i,,,,,,
5,mcd_i,,,,,,
6,pesq_i,,,,,,
7,pesq2_i,,,,,,
8,squim_pesq_i,1.121,1.108,1.119,1.04,1.072,0.964
9,dnsmos_ovrl_i,0.764,0.777,0.785,0.766,0.768,0.732
10,squim_mos_i,0.512,0.511,0.51,0.5,0.496,0.502
11,nisqa_mos_i,1.534,1.577,1.581,1.531,1.522,1.38
12,stoi_i,,,,,,
13,squim_stoi_i,0.084,0.086,0.086,0.081,0.081,0.076
14,phonsim_i,,,,,,
15,spksim_i,,,,,,
16,sBertSim_i,,,,,,
