,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,,,,,,
2,squim_sisdr_i,5.409328622882515,5.43419825466427,5.313918250941327,5.284228287358619,5.176028396404577,5.250268959927492
3,sdr_i,,,,,,
4,lsd_i,,,,,,
5,mcd_i,,,,,,
6,pesq_i,,,,,,
7,pesq2_i,,,,,,
8,squim_pesq_i,0.4704320903819155,0.4491623789008593,0.44580033535997177,0.4301781064267095,0.4375495789288843,0.43269654692314896
9,dnsmos_ovrl_i,0.4319426812264645,0.4319760494293099,0.4293736446047615,0.43050109402099856,0.42821976778743215,0.4063487578979273
10,squim_mos_i,0.6916616373198465,0.6980814501756821,0.6959746577340755,0.7007185763752173,0.7015377776333249,0.6914060920662515
11,nisqa_mos_i,0.764091668902304,0.7048886326241426,0.7076636796947658,0.7103991377780252,0.7200558132520384,0.7226599363546736
12,stoi_i,,,,,,
13,squim_stoi_i,0.06543358901933638,0.06531751013419473,0.06498655536295386,0.06229295662664185,0.06216479287620438,0.059889494370362305
14,phonsim_i,,,,,,
15,spksim_i,,,,,,
16,sBertSim_i,,,,,,
