,metric,DNS5,SB,MB,REC+MB,SRC+REC+MB,SSPA
1,sisdr_i,1.352,1.517,1.397,1.926,1.939,0.91
2,squim_sisdr_i,3.989,4.538,4.686,3.923,4.195,2.394
3,sdr_i,2.635,3.167,3.197,2.583,2.613,1.777
4,lsd_i,0.646,0.751,0.709,0.299,0.23,0.428
5,mcd_i,-1.553,-1.58,-1.617,-1.638,-1.635,-1.543
6,pesq_i,0.46,0.538,0.537,0.554,0.571,0.476
7,pesq2_i,0.46,0.538,0.537,0.554,0.571,0.477
8,squim_pesq_i,0.616,0.646,0.661,0.601,0.633,0.501
9,dnsmos_ovrl_i,0.896,0.956,0.97,0.915,0.936,0.824
10,squim_mos_i,0.609,0.609,0.613,0.587,0.575,0.589
11,nisqa_mos_i,1.16,1.2,1.24,1.139,1.129,0.964
12,stoi_i,0.086,0.101,0.102,0.101,0.101,0.082
13,squim_stoi_i,0.06,0.069,0.072,0.063,0.066,0.047
14,phonsim_i,0.051,0.063,0.062,0.068,0.068,0.07
15,spksim_i,-0.065,-0.071,-0.068,-0.047,-0.046,-0.071
16,sBertSim_i,0.081,0.087,0.087,0.089,0.091,0.083
